ID;token;organizations;itinerary;lat;lgt;distance;duration;weather;roadtype;traffic;circadian;pause;outlayer;timestamp;reload_weather;reload_roadtype;date
1972153;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63449478149414;6.246971607208252;8160;456;1;0;1;2;0;0;1627981414;0;0;"2021-08-03 10:27:11"
1972154;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.627105712890625;6.228071689605713;6480;372;1;0;1;2;0;0;1627981330;0;0;"2021-08-03 10:27:16"
1972155;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.630245208740234;6.239564418792725;7430;420;1;0;1;2;0;0;1627981378;0;0;"2021-08-03 10:27:20"
1972156;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63520431518555;6.248037338256836;8270;462;1;0;1;2;0;0;1627981420;0;0;"2021-08-03 10:27:21"
1972157;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64081573486328;6.254092693328857;9040;504;1;0;1;2;0;0;1627981462;1;1;"2021-08-03 10:27:24"
1972158;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62712478637695;6.229589939117432;6590;378;1;0;1;2;0;0;1627981336;0;0;"2021-08-03 10:27:26"
1972159;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63093948364258;6.2408928871154785;7560;426;1;0;1;2;0;0;1627981384;0;0;"2021-08-03 10:27:29"
1972160;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63602066040039;6.248985767364502;8390;468;1;0;1;2;0;0;1627981426;0;0;"2021-08-03 10:27:30"
1972161;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6415901184082;6.255231857299805;9160;510;1;0;1;2;0;0;1627981468;0;0;"2021-08-03 10:27:33"
1972162;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63168716430664;6.2421746253967285;7690;432;1;0;1;2;0;0;1627981390;0;0;"2021-08-03 10:27:39"
1972163;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63685607910156;6.249939441680908;8510;474;1;0;1;2;0;0;1627981432;0;0;"2021-08-03 10:27:40"
1972164;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64220428466797;6.256759166717529;9290;516;1;0;1;2;0;0;1627981474;0;0;"2021-08-03 10:27:43"
1972165;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.63245391845703;6.243484973907471;7820;438;1;0;1;2;0;0;1627981396;0;0;"2021-08-03 10:27:48"
1972166;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.637664794921875;6.250890254974365;8620;480;1;0;1;2;0;0;1627981438;0;0;"2021-08-03 10:27:49"
1972167;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64255905151367;6.258677959442139;9440;522;1;0;1;2;0;0;1627981480;0;0;"2021-08-03 10:27:52"
1972168;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6405029296875;6.27064847946167;10350;564;1;0;1;2;0;0;1627981522;1;1;"2021-08-03 10:27:54"
1972169;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6384162902832;6.251759052276611;8730;486;1;0;1;2;0;0;1627981444;0;0;"2021-08-03 10:27:59"
1972170;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.642662048339844;6.260463237762451;9570;528;1;0;1;2;0;0;1627981486;0;0;"2021-08-03 10:28:03"
1972171;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64043045043945;6.272557258605957;10490;570;1;0;1;2;0;0;1627981528;0;0;"2021-08-03 10:28:04"
1972172;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.639183044433594;6.252525329589844;8830;492;1;0;1;2;0;0;1627981450;0;0;"2021-08-03 10:28:09"
1972173;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64276123046875;6.26230001449585;9710;534;1;0;1;2;0;0;1627981492;0;0;"2021-08-03 10:28:11"
1972174;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.640380859375;6.274216175079346;10610;576;1;0;1;2;0;0;1627981534;0;0;"2021-08-03 10:28:14"
1972175;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.639976501464844;6.253270626068115;8930;498;1;0;1;2;0;0;1627981456;0;0;"2021-08-03 10:28:18"
1972176;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64263916015625;6.264039039611816;9840;540;1;0;1;2;0;0;1627981498;0;0;"2021-08-03 10:28:21"
1972177;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.640350341796875;6.27530574798584;10690;582;1;0;1;2;0;0;1627981540;0;0;"2021-08-03 10:28:23"
1972178;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64396667480469;6.285272121429443;11530;630;1;0;1;2;0;0;1627981588;1;1;"2021-08-03 10:28:24"
1972179;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.642051696777344;6.265560626983643;9970;546;1;0;1;2;0;0;1627981504;0;0;"2021-08-03 10:28:31"
1972180;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6403694152832;6.277393817901611;10850;588;1;0;1;2;0;0;1627981546;0;0;"2021-08-03 10:28:33"
1972181;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.644187927246094;6.286642551422119;11640;636;1;0;1;2;0;0;1627981594;0;0;"2021-08-03 10:28:33"
1972182;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64132308959961;6.26696252822876;10100;552;1;0;1;2;0;0;1627981510;0;0;"2021-08-03 10:28:40"
1972183;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64076232910156;6.278740882873535;10960;594;1;0;1;2;0;0;1627981552;0;0;"2021-08-03 10:28:42"
1972184;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64426803588867;6.288082122802734;11750;642;1;0;1;2;0;0;1627981600;0;0;"2021-08-03 10:28:42"
1972185;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64071273803711;6.2686614990234375;10240;558;1;0;1;2;0;0;1627981516;0;0;"2021-08-03 10:28:50"
1972186;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64130783081055;6.279852390289307;11060;600;1;0;1;2;0;0;1627981558;0;0;"2021-08-03 10:28:52"
1972187;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64438247680664;6.289503574371338;11860;648;1;0;1;2;0;0;1627981606;0;0;"2021-08-03 10:28:52"
1972188;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64710998535156;6.298455715179443;12590;690;1;0;1;2;0;0;1627981648;1;1;"2021-08-03 10:28:54"
1972189;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64190673828125;6.280856609344482;11160;606;1;0;1;2;0;0;1627981564;0;0;"2021-08-03 10:29:02"
1972190;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64459991455078;6.29083776473999;11960;654;1;0;1;2;0;0;1627981612;0;0;"2021-08-03 10:29:02"
1972191;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.647579193115234;6.299610137939453;12690;696;1;0;1;2;0;0;1627981654;0;0;"2021-08-03 10:29:04"
1972192;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64252853393555;6.2818403244018555;11260;612;1;0;1;2;0;0;1627981570;0;0;"2021-08-03 10:29:11"
1972193;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.644893646240234;6.2921600341796875;12060;660;1;0;1;2;0;0;1627981618;0;0;"2021-08-03 10:29:12"
1972194;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64830780029297;6.300698757171631;12800;702;1;0;1;2;0;0;1627981660;0;0;"2021-08-03 10:29:13"
1972195;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64312744140625;6.282876014709473;11360;618;1;0;1;2;0;0;1627981576;0;0;"2021-08-03 10:29:21"
1972196;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.645233154296875;6.293437957763672;12160;666;1;0;1;2;0;0;1627981624;0;0;"2021-08-03 10:29:21"
1972197;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.649017333984375;6.301866054534912;12920;708;1;0;1;2;0;0;1627981666;0;0;"2021-08-03 10:29:23"
1972198;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.653438568115234;6.311314582824707;13780;750;1;0;1;2;0;0;1627981708;1;1;"2021-08-03 10:29:24"
1972199;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64360809326172;6.284008979797363;11460;624;1;0;1;2;0;0;1627981582;0;0;"2021-08-03 10:29:31"
1972200;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64568328857422;6.294668197631836;12260;672;1;0;1;2;0;0;1627981630;0;0;"2021-08-03 10:29:31"
1972201;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.64975357055664;6.303145885467529;13050;714;1;0;1;2;0;0;1627981672;0;0;"2021-08-03 10:29:34"
1972202;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65360641479492;6.312880992889404;13900;756;1;0;1;2;0;0;1627981714;0;0;"2021-08-03 10:29:34"
1972203;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.646148681640625;6.295913219451904;12370;678;1;0;1;2;0;0;1627981636;0;0;"2021-08-03 10:29:41"
1972204;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65042495727539;6.304434776306152;13170;720;1;0;1;2;0;0;1627981678;0;0;"2021-08-03 10:29:43"
1972205;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6539192199707;6.314543724060059;14030;762;1;0;1;2;0;0;1627981720;0;0;"2021-08-03 10:29:44"
1972206;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6466178894043;6.297219753265381;12480;684;1;0;1;2;0;0;1627981642;0;0;"2021-08-03 10:29:50"
1972207;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65104675292969;6.305636405944824;13280;726;1;0;1;2;0;0;1627981684;0;0;"2021-08-03 10:29:52"
1972208;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.657291412353516;6.327212333679199;15040;810;1;0;1;2;0;0;1627981768;1;1;"2021-08-03 10:29:53"
1972209;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65395736694336;6.316341876983643;14160;768;1;0;1;2;0;0;1627981726;0;0;"2021-08-03 10:29:54"
1972210;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65172576904297;6.307004928588867;13410;732;1;0;1;2;0;0;1627981690;0;0;"2021-08-03 10:30:03"
1972211;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.657814025878906;6.328576564788818;15160;816;1;0;1;2;0;0;1627981774;0;0;"2021-08-03 10:30:04"
1972212;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65394592285156;6.318073272705078;14290;774;1;0;1;2;0;0;1627981732;0;0;"2021-08-03 10:30:05"
1972213;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.652400970458984;6.308416366577148;13540;738;1;0;1;2;0;0;1627981696;0;0;"2021-08-03 10:30:13"
1972214;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6583137512207;6.329905033111572;15270;822;1;0;1;2;0;0;1627981780;0;0;"2021-08-03 10:30:14"
1972215;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65442657470703;6.319683074951172;14420;780;1;0;1;2;0;0;1627981738;0;0;"2021-08-03 10:30:15"
1972216;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.653011322021484;6.309854030609131;13670;744;1;0;1;2;0;0;1627981702;0;0;"2021-08-03 10:30:25"
1972217;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.66231155395508;6.341184139251709;16230;870;1;0;1;2;0;0;1627981828;1;1;"2021-08-03 10:30:25"
1972218;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.658836364746094;6.331268310546875;15390;828;1;0;1;2;0;0;1627981786;0;0;"2021-08-03 10:30:25"
1972219;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.655006408691406;6.321250915527344;14550;786;1;0;1;2;0;0;1627981744;0;0;"2021-08-03 10:30:26"
1972220;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.66273498535156;6.342576026916504;16340;876;1;0;1;2;0;0;1627981834;0;0;"2021-08-03 10:30:36"
1972221;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65937042236328;6.332655906677246;15510;834;1;0;1;2;0;0;1627981792;0;0;"2021-08-03 10:30:36"
1972222;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.655555725097656;6.322711944580078;14680;792;1;0;1;2;0;0;1627981750;0;0;"2021-08-03 10:30:37"
1972223;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.66313171386719;6.343889236450195;16450;882;1;0;1;2;0;0;1627981840;0;0;"2021-08-03 10:30:46"
1972224;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.65989303588867;6.334041118621826;15630;840;1;0;1;2;0;0;1627981798;0;0;"2021-08-03 10:30:47"
