	RR	Timestamp	SensorContact	errorEstimate	blockerBit	gap
493	871	1,62677E+12	-1	-1	-1	991
494	1000	1,62677E+12	-1	-1	-1	1020
495	871	1,62677E+12	-1	-1	-1	3989
496	871	1,62677E+12	-1	-1	-1	991
497	879	1,62677E+12	-1	-1	-1	0
498	855	1,62677E+12	-1	-1	-1	1020
499	895	1,62677E+12	-1	-1	-1	990
500	895	1,62677E+12	-1	-1	-1	993
501	895	1,62677E+12	-1	-1	-1	1017
502	887	1,62677E+12	-1	-1	-1	989
503	903	1,62677E+12	-1	-1	-1	992
504	847	1,62677E+12	-1	-1	-1	1019
505	871	1,62677E+12	-1	-1	-1	0
506	647	1,62677E+12	-1	-1	-1	2972
507	1031	1,62677E+12	-1	-1	-1	1019
508	911	1,62677E+12	-1	-1	-1	989
509	807	1,62677E+12	-1	-1	-1	990
510	815	1,62677E+12	-1	-1	-1	0
511	943	1,62677E+12	-1	-1	-1	1021
512	735	1,62677E+12	-1	-1	-1	989
513	751	1,62677E+12	-1	-1	-1	990
514	799	1,62677E+12	-1	-1	-1	3001
515	655	1,62677E+12	-1	-1	-1	2999
516	839	1,62677E+12	-1	-1	-1	2041
517	855	1,62677E+12	-1	-1	-1	960
518	807	1,62677E+12	-1	-1	-1	1020
519	679	1,62677E+12	-1	-1	-1	990
520	879	1,62677E+12	-1	-1	-1	990
521	831	1,62677E+12	-1	-1	-1	4020
522	831	1,62677E+12	-1	-1	-1	991
523	871	1,62677E+12	-1	-1	-1	0
524	839	1,62677E+12	-1	-1	-1	1057
525	871	1,62677E+12	-1	-1	-1	951
526	887	1,62677E+12	-1	-1	-1	991
527	847	1,62677E+12	-1	-1	-1	1020
528	879	1,62677E+12	-1	-1	-1	990
529	919	1,62677E+12	-1	-1	-1	990
530	871	1,62677E+12	-1	-1	-1	2012
531	847	1,62677E+12	-1	-1	-1	2999
532	831	1,62677E+12	-1	-1	-1	990
533	831	1,62677E+12	-1	-1	-1	0
534	911	1,62677E+12	-1	-1	-1	1020
535	935	1,62677E+12	-1	-1	-1	1698
536	879	1,62677E+12	-1	-1	-1	286
537	903	1,62677E+12	-1	-1	-1	1016
538	887	1,62677E+12	-1	-1	-1	990
539	863	1,62677E+12	-1	-1	-1	991
540	887	1,62677E+12	-1	-1	-1	1021
541	879	1,62677E+12	-1	-1	-1	990
542	871	1,62677E+12	-1	-1	-1	0
543	903	1,62677E+12	-1	-1	-1	991
544	903	1,62677E+12	-1	-1	-1	1047
545	887	1,62677E+12	-1	-1	-1	991
546	911	1,62677E+12	-1	-1	-1	989
547	911	1,62677E+12	-1	-1	-1	991
548	871	1,62677E+12	-1	-1	-1	990
549	887	1,62677E+12	-1	-1	-1	991
550	887	1,62677E+12	-1	-1	-1	1042
551	879	1,62677E+12	-1	-1	-1	972
552	919	1,62677E+12	-1	-1	-1	0
553	935	1,62677E+12	-1	-1	-1	986
554	871	1,62677E+12	-1	-1	-1	1020
555	935	1,62677E+12	-1	-1	-1	1005
556	959	1,62677E+12	-1	-1	-1	976
557	919	1,62677E+12	-1	-1	-1	1019
558	951	1,62677E+12	-1	-1	-1	988
559	943	1,62677E+12	-1	-1	-1	992
