	RR	Timestamp	écart		moyenne	min	max	mode	écart-type	durée	somme RR	max écart tmsp	écart-type tmsp	25e centile	50e centile	75e centile	RR/durée	durée (min)	état	deconnexion
392	601	1623388675694	957	11/06/2021 07:17																
393	550	1623388676683	989	11/06/2021 07:17																
394	647	1623388676683	0	11/06/2021 07:17																
395	643	1623388677673	990	11/06/2021 07:17																
396	542	1623388677673	0	11/06/2021 07:17																
397	522	1623388678633	960	11/06/2021 07:17																
398	543	1623388679623	990	11/06/2021 07:18																
399	574	1623388679623	0	11/06/2021 07:18																
400	573	1623388680584	961	11/06/2021 07:18																
401	594	1623388680584	0	11/06/2021 07:18																
402	518	1623388681683	1099	11/06/2021 07:18																
403	593	1623388682570	887	11/06/2021 07:18																
404	535	1623388682570	0	11/06/2021 07:18																
405	550	1623388682570	0	11/06/2021 07:18																
406	561	1623388683525	955	11/06/2021 07:18																
407	525	1623388684515	990	11/06/2021 07:18																
408	647	1623388684515	0	11/06/2021 07:18																
409	527	1623388685475	960	11/06/2021 07:18																
410	1132	1623388686464	989	11/06/2021 07:18																
411	579	1623388687455	991	11/06/2021 07:18																
412	587	1623388687455	0	11/06/2021 07:18																
413	571	1623388688415	960	11/06/2021 07:18																
414	548	1623388688415	0	11/06/2021 07:18																
415	654	1623388689405	990	11/06/2021 07:18																
416	580	1623388690396	991	11/06/2021 07:18																
417	520	1623388690396	0	11/06/2021 07:18																
418	550	1623388691355	959	11/06/2021 07:18																
419	607	1623388691355	0	11/06/2021 07:18																
420	569	1623388692344	989	11/06/2021 07:18																
421	574	1623388692344	0	11/06/2021 07:18																
422	579	1623388693303	959	11/06/2021 07:18																
423	515	1623388694294	991	11/06/2021 07:18																
424	573	1623388694294	0	11/06/2021 07:18																
425	502	1623388695283	989	11/06/2021 07:18																
426	536	1623388695283	0	11/06/2021 07:18																
427	514	1623388696243	960	11/06/2021 07:18	timestamp serveur 1er BRT															
428	551	1623388696243	0	11/06/2021 07:18																
429	568	1623388697235	992	11/06/2021 07:18																
430	572	1623388697235	0	11/06/2021 07:18																
431	566	1623388698223	988	11/06/2021 07:18																
432	494	1623388699411	1188	11/06/2021 07:18																
433	556	1623388699411	0	11/06/2021 07:18																
434	574	1623388700173	762	11/06/2021 07:18																
435	564	1623388700173	0	11/06/2021 07:18																
436	556	1623388701134	961	11/06/2021 07:18																
437	565	1623388701134	0	11/06/2021 07:18																
438	527	1623388702123	989	11/06/2021 07:18																
439	575	1623388703113	990	11/06/2021 07:18																
440	547	1623388703113	0	11/06/2021 07:18																
441	743	1623388704094	981	11/06/2021 07:18																
442	1569	1623388706028	1934	11/06/2021 07:18																
443	1070	1623388707017	989	11/06/2021 07:18																
444	610	1623388707017	0	11/06/2021 07:18																
445	666	1623388708005	988	11/06/2021 07:18																
446	655	1623388708968	963	11/06/2021 07:18																
447	515	1623388708968	0	11/06/2021 07:18																
448	592	1623388709953	985	11/06/2021 07:18																
449	606	1623388709953	0	11/06/2021 07:18																
450	557	1623388710944	991	11/06/2021 07:18																
451	597	1623388710944	0	11/06/2021 07:18																
452	585	1623388711903	959	11/06/2021 07:18																
453	585	1623388712898	995	11/06/2021 07:18																
454	599	1623388712898	0	11/06/2021 07:18																
455	605	1623388713883	985	11/06/2021 07:18																
456	571	1623388713883	0	11/06/2021 07:18																
457	589	1623388714845	962	11/06/2021 07:18																
458	627	1623388715833	988	11/06/2021 07:18																
459	551	1623388715833	0	11/06/2021 07:18																
460	573	1623388716797	964	11/06/2021 07:18																
461	570	1623388716797	0	11/06/2021 07:18																
462	596	1623388717787	990	11/06/2021 07:18																
463	588	1623388718777	990	11/06/2021 07:18																
464	563	1623388718778	1	11/06/2021 07:18																
465	582	1623388719735	957	11/06/2021 07:18																
466	605	1623388719735	0	11/06/2021 07:18																
467	583	1623388720725	990	11/06/2021 07:18																
468	578	1623388721716	991	11/06/2021 07:18																
469	574	1623388721716	0	11/06/2021 07:18																
